NAME OF CHURCH,CITY,COUNTY,STATE,"CITY, COUNTY, STATE",SOURCE,ASSOCIATION,YEAR,PASTOR,CLERK,# OF MEMBERS,POST OFFICE,YEAR ORGANIZED,DELEGATES,DELEGATES,DELEGATES,DELEGATES
Mossing Ford,,CHARLOTTE,,Charlotte Co.,BCBA Minutes1871,BCBA,1871,"Clark, Whitfield",,,,,"Clark, Whitfield","Cook, George E.","Davis, Anthony",
Mt. Ellis,,CHARLOTTE,,Charlotte Co.,BCBA Minutes1871,BCBA,1871,"Clark, Whitfield",,,,,"Almand, John","Cheatham, Joseph",,
Salem,,CHARLOTTE,,Charlotte Co.,BCBA Minutes1871,BCBA,1871,"Scott, Jas. A.",,,,,"Boyd, William","Bartlett, Johnson","Moseley, Blunt","Moseley, Stephen"
Grove,,LUNENBURG,,Lunenberg Co.,BCBA Minutes1871,BCBA,1871,,,,,,,"Holloway, George","Richardson, Anderson",
Mt. Mitchell,,LUNENBURG,,Lunenberg Co.,BCBA Minutes1871,BCBA,1871,"Thompson, W. A.",,,,,,,,"Thompson, William A."
Tussekiah,,LUNENBURG,,Lunenberg Co.,BCBA Minutes1871,BCBA,1871,"Thompson, W. A.",,,,,"Bell, Booker","Foster, Isaac",,
Bluestone,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes1871,BCBA,1871,"Scott, Jas. A.",,,,,"Crawley, Wyatt","Elam, Albert","Powell, Thomas",
Concord,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes1871,BCBA,1871,,,,,,"Bigger, Isaac","Bigger, Dick",,
First African,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes1871,BCBA,1871,,,,,,,"Jeffress, Travis",,"Townes, Samuel"
Five Forks,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes1871,BCBA,1871,,,,,,,"Green, Lewis","Johnson, Ben",
"Mt. Zion, Clarksville",,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes1871,BCBA,1871,"Scott, Jas. A.",,,,,"Field, Wilkins","Hepburn, Allen",,"Wootten, Oscar"
Sharon,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes1871,BCBA,1871,"Sydnor, E. F.",,,,,"Alexander, Frank",,,"Simmons, Isham"
Shiloh,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes1871,BCBA,1871,"Sydnor, E. F.",,,,,,"Gayle, Solomon","Shipwith, William","Sydnor, Edmund F."
Zion,PAMPLIN STATION,APPOMATTOX,,Appomattox - Pamlin's Station,BCBA Minutes1873,BCBA,1873,"Matthews, Bolling","Baker, Edward",,,,,,,
Morrison Grove,CHARLOTTE C. H.,CHARLOTTE,,Charlotte C. H.,BCBA Minutes1873,BCBA,1873,,"Moses, Robert",,,,,,,
Mt. Ellis,KEYSVILLE,CHARLOTTE,,"Keysville, Charlotte Co.",BCBA Minutes1873,BCBA,1873,"Clark, Whitfield","Faulks, Frank",,,,,,,
Shiloh,DRAKE'S BRANCH,CHARLOTTE,,Charlotte Co. - Drake's Branch,BCBA Minutes1873,BCBA,1873,"Tompson [sic], Wm. A.","Tompson, Wm. A",,,,,,,
Friendship,BRICKLAND,LUNENBURG,,"Brickland, Lunenberg Co.",BCBA Minutes1873,BCBA,1873,"Chapel, Edward",,,,,,,,
Mt. Mitchell,FT. MITCHELL,LUNENBURG,,Lunenberg Co. - Ft. Mitchell,BCBA Minutes1873,BCBA,1873,"Tompson [sic], Wm. A.","Thompson, Wm. A",,,,,,,
New Grove,COLUMBIAN GROVE,LUNENBURG,,Lunenberg Co. - Columbian Grove,BCBA Minutes1873,BCBA,1873,"Leach, D. F., Gee, Peter; Lee, Richard","Banks, James R.",,,,,,,
Tussekiah,LEWISTOWN,LUNENBURG,,Lunenberg Co. - Lewiston,BCBA Minutes1873,BCBA,1873,"Tompson, Wm. A.","Tompson, Wm. A",,,,,,,
Amity,FORKSVILLE,MECKLENBURG,,"Forksville, Mecklenburg Co.",BCBA Minutes1873,BCBA,1873,,"Hubbard, Joe",,,,,,,
Bethlehem,CHASE CITY,MECKLENBURG,,"Chase City, Mecklenburg Co.",BCBA Minutes1873,BCBA,1873,"Davis, Cephas","Davis, C. W.",,,,,,,
Blue Stone,SPRING HILL,MECKLENBURG,,"Spring Hill, Mecklenburg",BCBA Minutes1873,BCBA,1873,,"Richards, J. G.",,,,,,,
Concord,DRAPERSVILLE,MECKLENBURG,,"Drapersville, Mecklenburg",BCBA Minutes1873,BCBA,1873,"Leach, D. F.","Smithson, Sandy",,,,,,,
First African,CLARKSVILLE,MECKLENBURG,,"Clarksville, Mecklenburg Co.",BCBA Minutes1873,BCBA,1873,"Dodson, Albert","Bowers, James",,,,,,,
Lone Oak,DRAPERSVILLE,MECKLENBURG,,"Drapersville, Mecklenburg",BCBA Minutes1873,BCBA,1873,,"Williams, Lewis",,,,,,,
Lumley's Grove,LOMBARDY GROVE,MECKLENBURG,,"Lombardy Grove, Mecklenburg",BCBA Minutes1873,BCBA,1873,,"Tanner, Edward",,,,,,,
"Mt. Zion, Clarksville",CLARKSVILLE,MECKLENBURG,,Mecklenburg Co. - Clarksville,BCBA Minutes1873,BCBA,1873,,"Fields, Buckner",,,,,,,
Sharon,BOYDTON,MECKLENBURG,,Mecklenburg Co. - Boydton,BCBA Minutes1873,BCBA,1873,"Sydner, E. F. ","Sydner, E. F.",,,,,,,
Shiloh,BOYDTON,MECKLENBURG,,Mecklenburg Co. - Boydton,BCBA Minutes1873,BCBA,1873,Synder [sic] E. F.,"Baptist, J. B. ",,,,,,,
St. Paul,BOYDTON,MECKLENBURG,,Mecklenburg Co. - Boydton,BCBA Minutes1873,BCBA,1873,"Sydner, E. F. ","Jeffries, George",,,,,,,
Forrest,MEHERRIN STATION,PRINCE EDWARD,,"Meherrin Station, Prince Edward",BCBA Minutes1873,BCBA,1873,"Scott, Thomas","Watkins, Ellie",,,,,,,
Mossingford,MOSSINGFORD STATION,,,Mossingford Station,BCBA Minutes1873,BCBA,1873,"Clark, Whitfield","Bacon, G.",,,,,,,
Mt. Pleasant,WALKER'S CHURCH,,,Appomattox - Walker's Church,BCBA Minutes1873,BCBA,1873,,"Martin, joseph",,,,,,,
Salem,BED OAK GROVE,,,Bed Oak Grove,BCBA Minutes1873,BCBA,1873,,"Stanley, Wm.",,,,,,,
Mt. Pleasant,WALKER'S CHURCH,APPOMATTOX,,Appomattox - Walker's Church,BCBA Minutes1874,BCBA,1874,"Mathews, J. B.","Morton, Joseph",,,,,,,
