FID,NAME,JURISTYPE,LOCATIONS,VACONCONV_1869_DELEGATE,CD4_1878,CD4_1880,CD4_1882,CD4_1884,CD4_1886,CD4_1888,BBA_1882,BBA_1882_CH,BBA_1882_MEM,BBA_1885,BBA_1885_CH,BBA_1885_MEM,BBA_1886,BBA_1886_CH,BBA_1886_MEM,BBA_1887,BBA_1887_CH,BBA_1887_MEM,BBA_1888,BBA_1888_CH,BBA_1888_MEM,BBA_1889,BBA_1889_CH,BBA_1889_MEM,BCBA_1871_CH,BCBA_1871_MEM,BCBA_1873_CH,BCBA_1873_MEM,BCBA_1880_CH,BCBA_1880_MEM,BCBA_1884_CH,BCBA_1884_MEM,BCBA_1885_CH,BCBA_1885_MEM,BCBA_1886_CH,BCBA_1886_MEM,BCBA_1887_CH,BCBA_1887_MEM,BCBA_1888_CH,BCBA_1888_MEM,BCBA_1889_CH,BCBA_1889_MEM,BCBA_1890_CH,BCBA_1890_MEM,VBSC_1867_CH,VBSC_1867_MEM,VBSC_1868_CH,VBSC_1868_MEM,VBSC_1879_CH,VBSC_1879_MEM,VBSC_1880_CH,VBSC_1880_MEM,VBSC_1881_CH,VBSC_1881_MEM,VBSC_1882_CH,VBSC_1882_MEM,VBSC_1883_CH,VBSC_1883_MEM,VBSC_1884_CH,VBSC_1884_MEM,VBSC_1885_CH,VBSC_1885_MEM,VBSC_1886_CH,VBSC_1886_MEM,VBSC_1887_CH,VBSC_1887_MEM,VBSC_1888_CH,VBSC_1888_MEM,VBSC_1889_CH,VBSC_1889_MEM,VBSC_1890_CH,VBSC_1890_MEM,CSBA_1881_CH,CSBA_1881_MEM,NNBA_1881_CH,IPUMS_ID_Number_Location,CONG_DIST_NUMBER_1880,NUMBER_VOTES_GOVERNOR_DEMOCRAT_1881 _V327,NUMBER_VOTES_GOVERNOR_READJUSTER_1881 _V328,TOT_VOTE_GOV_1881 _V329,PERCENT_VOTES_DEM_1881,PERCENT_VOTES_REP_1881,MC_TOT_CH_1883,MC_B_CH_1883,MC_M_CH_1883,MC_O_CH_1883,MC_NUM_NAMES_1883,MC_NOTES_1883,DELEGATE_VA_HOUSE,DELEGATE_VA_HOUSE_TERM,SUPPORT_REP_1881,SUPPORT_REP_1885,SUPPORT_REP_1877
0,Covington,City,Covington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5800,99,9999999,9999999,9999999,,,,,,,,,,,,,
1,Hopewell,City,Hopewell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6700,99,9999999,9999999,9999999,,,,,,,,,,,,,
2,Martinsville,City,Martinsville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6900,99,9999999,9999999,9999999,,,,,,,,,,,,,
3,Galax,City,Galax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,99,9999999,9999999,9999999,,,,,,,,,,,,,
4,Colonial Heights,City,Colonial Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700,99,9999999,9999999,9999999,,,,,,,,,,,,,
5,Staunton,City,Staunton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7900,7,693,325,1018,68,32,,,,,,,,,,,
6,Waynesboro,City,Waynesboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8200,99,9999999,9999999,9999999,,,,,,,,,,,,,
7,Fairfax,City,Fairfax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,52,1,53,2,213,1,52,1,57,1,73,1,71,2,112,2,147,,,,590,8,1526,1666,3192,48,52,7,4,3,0,,,"HARRIS, A. W.",1881,Y,,
8,Harrisonburg,City,Harrisonburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6600,99,9999999,9999999,9999999,,,,,,,,,,,,,
9,Lynchburg,City,Lynchburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6800,6,9999999,9999999,9999999,,,2,2,0,0,,"I did not record information from Alfred L. Kelley, though I appear to have data from someone else.",,,,,
10,Richmond City,City,Richmond City,"Cox, Joseph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7600,3,5020,3328,8348,60,40,7,3,0,4,,"I have another Richmond City entry, with 15 total churches. 12 are Baptist, 1 is AME/Methodist and 2 are unspecified or other.  This is defintely Richmond City, because it Sixth Mt. Zion Baptist Church is listed.",,,,,
11,Petersburg,City,Petersburg,"Morgan, Peter",,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7300,4,1187,2173,3360,35,65,5,3,2,0,,,"GREEN, ARMISTEAD",1879,Y,Y,
12,Williamsburg,City,Williamsburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8300,2,92,109,201,46,54,,,,,,,"NORTON, ROBERT",,Y,Y,
13,Buena Vista,City,Buena Vista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300,0,9999999,9999999,9999999,,,,,,,,,,,,,
16,Virginia Beach,City,Virginia Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8100,99,9999999,9999999,9999999,,,,,,,,,,,,,
17,Bristol,City,Bristol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200,0,9999999,9999999,9999999,,,,,,,,,,,,,
18,Norton,City,Norton,"Norton, Daniel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,99,9999999,9999999,9999999,,,,,,,,,,,,,
19,Radford,City,Radford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500,0,9999999,9999999,9999999,,,,,,,,,,,,,
20,Winchester,City,Winchester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8400,8,455,481,936,49,51,,,,,,,,,Y,,
23,Fredericksburg,City,Fredericksburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6300,1,569,247,816,70,30,,,,,,,,,,,
24,Charlottesville,City,Charlottesville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400,0,9999999,9999999,9999999,,,,,,,,,,,,,
25,Falls Church,City,Falls Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6100,99,9999999,9999999,9999999,,,,,,,,,,,,,
26,Danville,City,Danville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5900,5,697,789,1486,47,53,4,0,1,3,,,,,Y,,
